"CODCT";"PROJETO";"Obra";"Tipo Obra";"RDO";"STATUS_RDO";"DATA_VALIDACAO_SALA_TECNICA"
"0004";"12000140";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Cancelado                    ";
"0004";"15071731";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Cancelado                    ";
"0004";"15005208";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Cancelado                    ";
"0004";"13050036";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Cancelado                    ";
"0004";"15005348";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000001";"Cancelado                    ";
"0004";"13050036";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000002";"Cancelado                    ";
"0004";"15005518";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000001";"Cancelado                    ";
"0004";"12000140";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000008";"Cancelado                    ";
"0004";"12000140";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000009";"Cancelado                    ";
"0004";"13050036";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000001";"Cancelado                    ";
"0004";"15007685";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Cancelado                    ";
"0004";"12020540";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000003";"Cancelado                    ";
"0004";"15008320";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000001";"Cancelado                    ";
"0004";"12000140";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000010";"Cancelado                    ";
"0004";"15012697";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Cancelado                    ";
"0004";"12001430";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000001";"Cancelado                    ";
"0004";"14009250";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Cancelado                    ";
"0004";"12020540";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000002";"Aprovado Sala Técnica        ";29/8/2024 00:00:00
"0004";"15007855";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Cancelado                    ";
"0004";"12020656";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000001";"Cancelado                    ";
