"PROJETO";"Fase";"Região";"UF";"Município";"Escopo_RE";"Escopo_RI";"Escopo_GS";"Energia compart"
"12020400";"B";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";
"12020419";"B";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Sim";
"12020893";"B";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";
"12021032";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12021083";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Sim";
"12021091";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";"S"
"12021130";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12021156";"B";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";
"12021229";"B";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";
"12021520";"B";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";
"12021539";"B";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";
"12021555";"B";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";
"12021563";"B";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Sim";
"12021792";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12021830";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Sim";
"12021849";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12021865";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Sim";
"12021873";"B";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";
"12021989";"B";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";
"12022349";"B";"Norte";"AC";"Feijó";"Sim";"Sim";"Não";
"12023000";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12023019";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12023027";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12025550";"B";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";
"12025615";"B";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";
"12026336";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12026344";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Sim";
"12026352";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12026387";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12027081";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12027090";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12027103";"B";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Sim";
"12027634";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12027650";"B";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";
"12027669";"B";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";
"12027677";"B";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";
"12028444";"B";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";
"12028452";"B";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";
"12028479";"B";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";
"12028517";"B";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";
"12028550";"B";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";
"12028630";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";"S"
"12029050";"B";"Norte";"AC";"Feijó";"Sim";"Sim";"Não";
"12029211";"B";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Sim";
"12029246";"B";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";
"12029335";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12029807";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12030023";"B";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";
"12030040";"B";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";
"12030589";"B";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";
