"PROJETO";"Fase";"Região";"UF";"Município";"Escopo_RE";"Escopo_RI";"Escopo_GS";"Energia compart"
"21005702";"B";"Nordeste I";"MA";"Cururupu";"Sim";"Sim";"Não";
"21005737";"B";"Nordeste I";"MA";"Cururupu";"Sim";"Sim";"Não";
"21005761";"B";"Nordeste I";"MA";"Cururupu";"Sim";"Sim";"Não";
"21005796";"B";"Nordeste I";"MA";"Cururupu";"Sim";"Sim";"Não";
"21005800";"B";"Nordeste I";"MA";"Serrano do Maranhão";"Sim";"Sim";"Não";
"21005826";"B";"Nordeste I";"MA";"Cururupu";"Sim";"Sim";"Não";
"21005877";"B";"Nordeste I";"MA";"Cururupu";"Sim";"Sim";"Não";
"21005915";"B";"Nordeste I";"MA";"Cururupu";"Sim";"Sim";"Não";
"21005958";"B";"Nordeste I";"MA";"Cururupu";"Sim";"Sim";"Não";
"21005982";"B";"Nordeste I";"MA";"Cururupu";"Sim";"Sim";"Não";
"21006040";"B";"Nordeste I";"MA";"Guimarães";"Sim";"Sim";"Não";
"21006539";"B";"Nordeste I";"MA";"Guimarães";"Sim";"Sim";"Não";
"21006610";"B";"Nordeste I";"MA";"Guimarães";"Sim";"Sim";"Não";
"21006709";"B";"Nordeste I";"MA";"Mirinzal";"Sim";"Sim";"Não";
"21006717";"B";"Nordeste I";"MA";"Central do Maranhão";"Sim";"Sim";"Não";
"21006733";"B";"Nordeste I";"MA";"Mirinzal";"Sim";"Sim";"Não";
"21006741";"B";"Nordeste I";"MA";"Central do Maranhão";"Sim";"Sim";"Não";
"21006776";"B";"Nordeste I";"MA";"Central do Maranhão";"Sim";"Sim";"Não";
"21006822";"B";"Nordeste I";"MA";"Central do Maranhão";"Sim";"Sim";"Não";
"21006873";"B";"Nordeste I";"MA";"Central do Maranhão";"Sim";"Sim";"Não";
"21006881";"B";"Nordeste I";"MA";"Central do Maranhão";"Sim";"Sim";"Não";
"21006903";"B";"Nordeste I";"MA";"Mirinzal";"Sim";"Sim";"Não";
"21006911";"B";"Nordeste I";"MA";"Mirinzal";"Sim";"Sim";"Não";
"21006954";"B";"Nordeste I";"MA";"Mirinzal";"Sim";"Sim";"Não";
"21006962";"B";"Nordeste I";"MA";"Central do Maranhão";"Sim";"Sim";"Não";
"21006970";"B";"Nordeste I";"MA";"Mirinzal";"Sim";"Sim";"Não";
"21006989";"B";"Nordeste I";"MA";"Central do Maranhão";"Sim";"Sim";"Não";
"21007080";"B";"Nordeste I";"MA";"Mirinzal";"Sim";"Sim";"Não";
"21007179";"B";"Nordeste I";"MA";"Central do Maranhão";"Sim";"Sim";"Não";
"21007195";"B";"Nordeste I";"MA";"Mirinzal";"Sim";"Sim";"Não";
"21007233";"B";"Nordeste I";"MA";"Mirinzal";"Sim";"Sim";"Não";
"21007241";"B";"Nordeste I";"MA";"Central do Maranhão";"Sim";"Sim";"Não";
"21007250";"B";"Nordeste I";"MA";"Central do Maranhão";"Sim";"Sim";"Não";
"21007292";"B";"Nordeste I";"MA";"Central do Maranhão";"Sim";"Sim";"Não";
"21007306";"B";"Nordeste I";"MA";"Central do Maranhão";"Sim";"Sim";"Não";
"21007314";"B";"Nordeste I";"MA";"Mirinzal";"Sim";"Sim";"Não";
"21007349";"B";"Nordeste I";"MA";"Central do Maranhão";"Sim";"Sim";"Não";
"21007365";"B";"Nordeste I";"MA";"Central do Maranhão";"Sim";"Sim";"Não";
"21007373";"B";"Nordeste I";"MA";"Mirinzal";"Sim";"Sim";"Não";
"21007411";"B";"Nordeste I";"MA";"Mirinzal";"Sim";"Sim";"Não";
"21007900";"B";"Nordeste I";"MA";"Raposa";"Sim";"Sim";"Não";
"21008000";"B";"Nordeste I";"MA";"Raposa";"Sim";"Sim";"Não";
"21008019";"B";"Nordeste I";"MA";"Paço do Lumiar";"Sim";"Sim";"Não";
"21008175";"B";"Nordeste I";"MA";"Paço do Lumiar";"Sim";"Sim";"Não";
"21008183";"B";"Nordeste I";"MA";"Raposa";"Sim";"Sim";"Não";
"21008191";"B";"Nordeste I";"MA";"Paço do Lumiar";"Sim";"Sim";"Não";
"21008230";"B";"Nordeste I";"MA";"Paço do Lumiar";"Sim";"Sim";"Não";
"21008434";"B";"Nordeste I";"MA";"Paço do Lumiar";"Sim";"Sim";"Não";
"21008450";"B";"Nordeste I";"MA";"Paço do Lumiar";"Sim";"Sim";"Não";
"21008493";"B";"Nordeste I";"MA";"Raposa";"Sim";"Sim";"Não";
"21008523";"B";"Nordeste I";"MA";"Paço do Lumiar";"Sim";"Sim";"Não";
"21008531";"B";"Nordeste I";"MA";"Paço do Lumiar";"Sim";"Sim";"Não";
"21008540";"B";"Nordeste I";"MA";"Paço do Lumiar";"Sim";"Sim";"Não";
"21008809";"B";"Nordeste I";"MA";"São José de Ribamar";"Sim";"Sim";"Não";
"21008949";"B";"Nordeste I";"MA";"São José de Ribamar";"Sim";"Sim";"Não";
"21009031";"B";"Nordeste I";"MA";"São José de Ribamar";"Sim";"Sim";"Não";
"21009163";"B";"Nordeste I";"MA";"São José de Ribamar";"Sim";"Sim";"Não";
"21009279";"B";"Nordeste I";"MA";"São José de Ribamar";"Sim";"Sim";"Não";
"21009392";"B";"Nordeste I";"MA";"São José de Ribamar";"Sim";"Sim";"Não";
"21009414";"B";"Nordeste I";"MA";"São José de Ribamar";"Sim";"Sim";"Não";
"21009619";"B";"Nordeste I";"MA";"São José de Ribamar";"Sim";"Sim";"Não";
"21020701";"B";"Nordeste I";"MA";"São Luís";"Sim";"Sim";"Não";
"21020957";"B";"Nordeste I";"MA";"São Luís";"Sim";"Sim";"Não";
"21021023";"B";"Nordeste I";"MA";"São Luís";"Sim";"Sim";"Não";
"21021201";"B";"Nordeste I";"MA";"São Luís";"Sim";"Sim";"Não";
"21021228";"B";"Nordeste I";"MA";"São Luís";"Sim";"Sim";"Não";
"21021333";"B";"Nordeste I";"MA";"São Luís";"Sim";"Sim";"Não";
"21021376";"B";"Nordeste I";"MA";"São Luís";"Sim";"Sim";"Não";
"21022020";"B";"Nordeste I";"MA";"São Luís";"Sim";"Sim";"Não";
"21022704";"B";"Nordeste I";"MA";"Axixá";"Sim";"Sim";"Não";
"21022712";"B";"Nordeste I";"MA";"Axixá";"Sim";"Sim";"Não";
"21022720";"B";"Nordeste I";"MA";"Axixá";"Sim";"Sim";"Não";
"21022755";"B";"Nordeste I";"MA";"Axixá";"Sim";"Sim";"Não";
"21022763";"B";"Nordeste I";"MA";"Axixá";"Sim";"Sim";"Não";
"21022771";"B";"Nordeste I";"MA";"Axixá";"Sim";"Sim";"Não";
"21022780";"B";"Nordeste I";"MA";"Axixá";"Sim";"Sim";"Não";
"21022798";"B";"Nordeste I";"MA";"Axixá";"Sim";"Sim";"Não";
"21022810";"B";"Nordeste I";"MA";"Axixá";"Sim";"Sim";"Não";
"21022828";"B";"Nordeste I";"MA";"Axixá";"Sim";"Sim";"Não";
"21022852";"B";"Nordeste I";"MA";"Axixá";"Sim";"Sim";"Não";
"21022860";"B";"Nordeste I";"MA";"Axixá";"Sim";"Sim";"Não";
"21022895";"B";"Nordeste I";"MA";"Axixá";"Sim";"Sim";"Não";
"21022925";"B";"Nordeste I";"MA";"Axixá";"Sim";"Sim";"Não";
"21022968";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023034";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023042";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023069";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023131";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023158";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023174";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023220";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023255";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023271";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023298";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023352";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023360";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023395";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023468";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023514";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023565";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023603";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023646";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023654";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023719";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023760";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023840";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023859";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21023883";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21024014";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21024022";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21024090";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21024103";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21024146";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21024162";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21024170";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21024189";"B";"Nordeste I";"MA";"Icatu";"Sim";"Sim";"Não";
"21024308";"B";"Nordeste I";"MA";"Cachoeira Grande";"Sim";"Sim";"Não";
"21024529";"B";"Nordeste I";"MA";"Morros";"Sim";"Sim";"Não";
"21024553";"B";"Nordeste I";"MA";"Cachoeira Grande";"Sim";"Sim";"Não";
"21024600";"B";"Nordeste I";"MA";"Morros";"Sim";"Sim";"Não";
"21024626";"B";"Nordeste I";"MA";"Cachoeira Grande";"Sim";"Sim";"Não";
"21024642";"B";"Nordeste I";"MA";"Cachoeira Grande";"Sim";"Sim";"Não";
"21024669";"B";"Nordeste I";"MA";"Morros";"Sim";"Sim";"Não";
"21024677";"B";"Nordeste I";"MA";"Cachoeira Grande";"Sim";"Sim";"Não";
"21024758";"B";"Nordeste I";"MA";"Morros";"Sim";"Sim";"Não";
"21024804";"B";"Nordeste I";"MA";"Morros";"Sim";"Sim";"Não";
"21024812";"B";"Nordeste I";"MA";"Cachoeira Grande";"Sim";"Sim";"Não";
"21024901";"B";"Nordeste I";"MA";"Morros";"Sim";"Sim";"Não";
"21024910";"B";"Nordeste I";"MA";"Morros";"Sim";"Sim";"Não";
"21024928";"B";"Nordeste I";"MA";"Cachoeira Grande";"Sim";"Sim";"Não";
"21024944";"B";"Nordeste I";"MA";"Morros";"Sim";"Sim";"Não";
"21024952";"B";"Nordeste I";"MA";"Morros";"Sim";"Sim";"Não";
"21024960";"B";"Nordeste I";"MA";"Morros";"Sim";"Sim";"Não";
"21025053";"B";"Nordeste I";"MA";"Cachoeira Grande";"Sim";"Sim";"Não";
"21025061";"B";"Nordeste I";"MA";"Morros";"Sim";"Sim";"Não";
"21025088";"B";"Nordeste I";"MA";"Morros";"Sim";"Sim";"Não";
"21025134";"B";"Nordeste I";"MA";"Cachoeira Grande";"Sim";"Sim";"Não";
"21025150";"B";"Nordeste I";"MA";"Morros";"Sim";"Sim";"Não";
"21025169";"B";"Nordeste I";"MA";"Morros";"Sim";"Sim";"Não";
"21025177";"B";"Nordeste I";"MA";"Cachoeira Grande";"Sim";"Sim";"Não";
"21025258";"B";"Nordeste I";"MA";"Morros";"Sim";"Sim";"Não";
"21025320";"B";"Nordeste I";"MA";"Morros";"Sim";"Sim";"Não";
"21025363";"B";"Nordeste I";"MA";"Morros";"Sim";"Sim";"Não";
"21025401";"B";"Nordeste I";"MA";"Cachoeira Grande";"Sim";"Sim";"Não";
"21025444";"B";"Nordeste I";"MA";"Cachoeira Grande";"Sim";"Sim";"Não";
"21025452";"B";"Nordeste I";"MA";"Morros";"Sim";"Sim";"Não";
"21025509";"B";"Nordeste I";"MA";"Cachoeira Grande";"Sim";"Sim";"Não";
"21025690";"B";"Nordeste I";"MA";"Presidente Juscelino";"Sim";"Sim";"Não";
"21025703";"B";"Nordeste I";"MA";"Presidente Juscelino";"Sim";"Sim";"Não";
"21025754";"B";"Nordeste I";"MA";"Presidente Juscelino";"Sim";"Sim";"Não";
"21025789";"B";"Nordeste I";"MA";"Presidente Juscelino";"Sim";"Sim";"Não";
"21025827";"B";"Nordeste I";"MA";"Presidente Juscelino";"Sim";"Sim";"Não";
"21025924";"B";"Nordeste I";"MA";"Presidente Juscelino";"Sim";"Sim";"Não";
"21025940";"B";"Nordeste I";"MA";"Presidente Juscelino";"Sim";"Sim";"Não";
"21025983";"B";"Nordeste I";"MA";"Presidente Juscelino";"Sim";"Sim";"Não";
"21025991";"B";"Nordeste I";"MA";"Presidente Juscelino";"Sim";"Sim";"Não";
"21026009";"B";"Nordeste I";"MA";"Presidente Juscelino";"Sim";"Sim";"Não";
"21026033";"B";"Nordeste I";"MA";"Presidente Juscelino";"Sim";"Sim";"Não";
"21026050";"B";"Nordeste I";"MA";"Presidente Juscelino";"Sim";"Sim";"Não";
"21026084";"B";"Nordeste I";"MA";"Presidente Juscelino";"Sim";"Sim";"Não";
"21026092";"B";"Nordeste I";"MA";"Presidente Juscelino";"Sim";"Sim";"Não";
"21026114";"B";"Nordeste I";"MA";"Presidente Juscelino";"Sim";"Sim";"Não";
"21026327";"B";"Nordeste I";"MA";"Bacabeira";"Sim";"Sim";"Não";
"21026378";"B";"Nordeste I";"MA";"Bacabeira";"Sim";"Sim";"Não";
"21026416";"B";"Nordeste I";"MA";"Rosário";"Sim";"Sim";"Não";
"21026440";"B";"Nordeste I";"MA";"Rosário";"Sim";"Sim";"Não";
"21026459";"B";"Nordeste I";"MA";"Bacabeira";"Sim";"Sim";"Não";
"21026467";"B";"Nordeste I";"MA";"Rosário";"Sim";"Sim";"Não";
"21026475";"B";"Nordeste I";"MA";"Rosário";"Sim";"Sim";"Não";
"21026483";"B";"Nordeste I";"MA";"Rosário";"Sim";"Sim";"Não";
"21026513";"B";"Nordeste I";"MA";"Rosário";"Sim";"Sim";"Não";
"21026530";"B";"Nordeste I";"MA";"Rosário";"Sim";"Sim";"Não";
"21026548";"B";"Nordeste I";"MA";"Bacabeira";"Sim";"Sim";"Não";
"21026572";"B";"Nordeste I";"MA";"Rosário";"Sim";"Sim";"Não";
"21026580";"B";"Nordeste I";"MA";"Bacabeira";"Sim";"Sim";"Não";
"21026602";"B";"Nordeste I";"MA";"Bacabeira";"Sim";"Sim";"Não";
"21026629";"B";"Nordeste I";"MA";"Rosário";"Sim";"Sim";"Não";
"21026637";"B";"Nordeste I";"MA";"Rosário";"Sim";"Sim";"Não";
"21026661";"B";"Nordeste I";"MA";"Rosário";"Sim";"Sim";"Não";
"21026670";"B";"Nordeste I";"MA";"Rosário";"Sim";"Sim";"Não";
"21026688";"B";"Nordeste I";"MA";"Rosário";"Sim";"Sim";"Não";
"21026718";"B";"Nordeste I";"MA";"Bacabeira";"Sim";"Sim";"Não";
"21026742";"B";"Nordeste I";"MA";"Rosário";"Sim";"Sim";"Não";
"21026750";"B";"Nordeste I";"MA";"Rosário";"Sim";"Sim";"Não";
"21026777";"B";"Nordeste I";"MA";"Rosário";"Sim";"Sim";"Não";
"21026807";"B";"Nordeste I";"MA";"Rosário";"Sim";"Sim";"Não";
"21026815";"B";"Nordeste I";"MA";"Bacabeira";"Sim";"Sim";"Não";
"21026823";"B";"Nordeste I";"MA";"Bacabeira";"Sim";"Sim";"Não";
"21026831";"B";"Nordeste I";"MA";"Rosário";"Sim";"Sim";"Não";
"21026840";"B";"Nordeste I";"MA";"Rosário";"Sim";"Sim";"Não";
"21026912";"B";"Nordeste I";"MA";"Rosário";"Sim";"Sim";"Não";
"21026939";"B";"Nordeste I";"MA";"Rosário";"Sim";"Sim";"Não";
"21026947";"B";"Nordeste I";"MA";"Rosário";"Sim";"Sim";"Não";
"21026955";"B";"Nordeste I";"MA";"Bacabeira";"Sim";"Sim";"Não";
"21027447";"B";"Nordeste I";"MA";"Santa Rita";"Sim";"Sim";"Não";
"21027455";"B";"Nordeste I";"MA";"Santa Rita";"Sim";"Sim";"Não";
"21027480";"B";"Nordeste I";"MA";"Bacabeira";"Sim";"Sim";"Não";
"21027498";"B";"Nordeste I";"MA";"Santa Rita";"Sim";"Sim";"Não";
"21027501";"B";"Nordeste I";"MA";"Santa Rita";"Sim";"Sim";"Não";
"21027528";"B";"Nordeste I";"MA";"Santa Rita";"Sim";"Sim";"Não";
"21027544";"B";"Nordeste I";"MA";"Santa Rita";"Sim";"Sim";"Não";
"21027587";"B";"Nordeste I";"MA";"Santa Rita";"Sim";"Sim";"Não";
"21027609";"B";"Nordeste I";"MA";"Santa Rita";"Sim";"Sim";"Não";
"21027625";"B";"Nordeste I";"MA";"Santa Rita";"Sim";"Sim";"Não";
"21027633";"B";"Nordeste I";"MA";"Santa Rita";"Sim";"Sim";"Não";
"21027641";"B";"Nordeste I";"MA";"Santa Rita";"Sim";"Sim";"Não";
"21027650";"B";"Nordeste I";"MA";"Bacabeira";"Sim";"Sim";"Não";
"21027692";"B";"Nordeste I";"MA";"Santa Rita";"Sim";"Sim";"Não";
"21027706";"B";"Nordeste I";"MA";"Santa Rita";"Sim";"Sim";"Não";
"21027749";"B";"Nordeste I";"MA";"Santa Rita";"Sim";"Sim";"Não";
"21027790";"B";"Nordeste I";"MA";"Santa Rita";"Sim";"Sim";"Não";
"21027838";"B";"Nordeste I";"MA";"Santa Rita";"Sim";"Sim";"Não";
"21027854";"B";"Nordeste I";"MA";"Santa Rita";"Sim";"Sim";"Não";
"21027897";"B";"Nordeste I";"MA";"Santa Rita";"Sim";"Sim";"Não";
"21027960";"B";"Nordeste I";"MA";"Santa Rita";"Sim";"Sim";"Não";
"21028028";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028060";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028079";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028125";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028141";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028168";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028176";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028184";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028230";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028257";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028273";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028290";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028338";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028346";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028389";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028435";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028443";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028478";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028524";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028540";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028567";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028605";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028621";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028648";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028656";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028680";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028729";"B";"Nordeste I";"MA";"Paulino Neves";"Sim";"Sim";"Não";
"21028737";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028770";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028788";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028800";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028842";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028869";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028877";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028885";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028893";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21028923";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029008";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029040";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029059";"B";"Nordeste I";"MA";"Paulino Neves";"Sim";"Sim";"Não";
"21029067";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029148";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029172";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029202";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029288";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029296";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029300";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029334";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029350";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029385";"B";"Nordeste I";"MA";"Paulino Neves";"Sim";"Sim";"Não";
"21029431";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029440";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029466";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029520";"B";"Nordeste I";"MA";"Paulino Neves";"Sim";"Sim";"Não";
"21029539";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029563";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029580";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029598";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029601";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029610";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029636";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029644";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029687";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029695";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029717";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029733";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029750";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029768";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029792";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029814";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029849";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029865";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029890";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029938";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029946";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21029954";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21030014";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21030022";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21030103";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21030111";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21030120";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21030138";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21030162";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21030200";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21030278";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21030308";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21030332";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21030367";"B";"Nordeste I";"MA";"Barreirinhas";"Sim";"Sim";"Não";
"21030391";"B";"Nordeste I";"MA";"Humberto de Campos";"Sim";"Sim";"Não";
"21030413";"B";"Nordeste I";"MA";"Humberto de Campos";"Sim";"Sim";"Não";
"21030464";"B";"Nordeste I";"MA";"Humberto de Campos";"Sim";"Sim";"Não";
"21030537";"B";"Nordeste I";"MA";"Humberto de Campos";"Sim";"Sim";"Não";
"21030553";"B";"Nordeste I";"MA";"Humberto de Campos";"Sim";"Sim";"Não";
"21030561";"B";"Nordeste I";"MA";"Humberto de Campos";"Sim";"Sim";"Não";
"21030588";"B";"Nordeste I";"MA";"Humberto de Campos";"Sim";"Sim";"Não";
"21030600";"B";"Nordeste I";"MA";"Humberto de Campos";"Sim";"Sim";"Não";
"21030626";"B";"Nordeste I";"MA";"Humberto de Campos";"Sim";"Sim";"Não";
"21030634";"B";"Nordeste I";"MA";"Humberto de Campos";"Sim";"Sim";"Não";
"21030642";"B";"Nordeste I";"MA";"Humberto de Campos";"Sim";"Sim";"Não";
"21030650";"B";"Nordeste I";"MA";"Humberto de Campos";"Sim";"Sim";"Não";
"21030707";"B";"Nordeste I";"MA";"Humberto de Campos";"Sim";"Sim";"Não";
"21030715";"B";"Nordeste I";"MA";"Humberto de Campos";"Sim";"Sim";"Não";
"21030723";"B";"Nordeste I";"MA";"Humberto de Campos";"Sim";"Sim";"Não";
"21030782";"B";"Nordeste I";"MA";"Humberto de Campos";"Sim";"Sim";"Não";
"21030790";"B";"Nordeste I";"MA";"Humberto de Campos";"Sim";"Sim";"Não";
"21030863";"B";"Nordeste I";"MA";"Humberto de Campos";"Sim";"Sim";"Não";
"21030901";"B";"Nordeste I";"MA";"Humberto de Campos";"Sim";"Sim";"Não";
